cell,datetime,days,type,dischargeCycles,initialCapacity,capacity,Voltage0,DeltaVoltage3,Voltage10,Temperature10,Voltage20,Temperature20,Voltage30,Temperature30,eodTime,remainingTime
B0005,02/04/2008 15:25:41,0.09541666666666666,discharge,1,1.8564874208181574,1.8564874208181574,4.191491807505295,0.3200317499817844,3.7495449854297482,29.404562561842074,3.6257871014776097,31.265594628000233,3.5294412131918445,32.87429429142986,3335.0251235705164,2135.0251235705164
B0005,02/04/2008 19:43:48,0.27466435185185184,discharge,2,1.8564874208181574,1.846327249719927,4.189773213846608,0.3111930939292873,3.7543357780715145,29.62598266812927,3.6300532388405498,31.433255975920243,3.5341575986567038,33.00005697495509,3315.8476616354915,2115.8476616354915
B0005,03/04/2008 00:01:06,0.4533449074074074,discharge,3,1.8564874208181574,1.8353491942234077,4.188186735991303,0.30715186460754884,3.7562150664577616,29.58118347687902,3.631262381162205,31.375205248073406,3.535379708110262,32.93406764948223,3303.4358781622177,2103.4358781622177
B0005,03/04/2008 04:16:37,0.6307870370370371,discharge,4,1.8564874208181574,1.8352625275821128,4.188461118855572,0.30515431882054456,3.757754998451139,29.479649700977372,3.632309173541748,31.24298802447851,3.5361877999935976,32.80875669942507,3297.9495529595183,2097.9495529595183
B0005,03/04/2008 08:33:25,0.8091203703703704,discharge,5,1.8564874208181574,1.8346455082120419,4.188298524761055,0.30412566486473525,3.7586288740224565,29.339181620880492,3.6328089539476447,31.088940238517633,3.536420600024971,32.66637048217747,3292.4439485462153,2092.4439485462153
B0005,03/04/2008 12:55:10,0.9908912037037036,discharge,6,1.8564874208181574,1.8356616600675495,4.188815807948604,0.30287849698812375,3.7604717812471726,29.354309541245822,3.6342363700305613,31.108492867057777,3.537571749655844,32.70399296551649,3292.483654765116,2092.483654765116
B0005,03/04/2008 17:17:16,1.1729050925925926,discharge,7,1.8564874208181574,1.8351461429226603,4.18839163793879,0.3006100155277607,3.7619980680085727,29.39748494944905,3.6354242709537123,31.143238543648877,3.538605402229367,32.7379085085615,3289.8753432943613,2089.8753432943613
B0005,03/04/2008 21:28:14,1.3471875000000002,discharge,8,1.8564874208181574,1.8257567905665537,4.188927891511958,0.29868913947842435,3.763886890716041,29.463332537714013,3.636377045976519,31.14756279889062,3.5394286422724743,32.73327489197971,3287.3292437314963,2087.3292437314963
B0005,04/04/2008 01:38:15,1.5208101851851852,discharge,9,1.8564874208181574,1.8247738529891333,4.189029250882121,0.29882913454299187,3.764105396541319,29.40140210605865,3.6361490437046418,31.085595213257925,3.539145183380476,32.668462528817024,3279.8634476170505,2079.8634476170505
B0005,04/04/2008 05:48:08,1.6943402777777778,discharge,10,1.8564874208181574,1.824613268496936,4.189223427076418,0.2983376707764944,3.764437767497779,29.325769211446026,3.636184494773607,31.00039472289336,3.53901206478568,32.58700210676616,3276.3381584733706,2076.3381584733706
B0005,04/04/2008 09:57:19,1.867384259259259,discharge,11,1.8564874208181574,1.8246195526864504,4.188916055911241,0.29816772660685853,3.7642598212287997,29.18636723202747,3.63594075194529,30.871757203187485,3.538462745849121,32.478310923267856,3271.343778098899,2071.343778098899
B0005,04/04/2008 17:56:27,2.2001157407407406,discharge,12,1.8564874208181574,1.8142019357673917,4.189876247266316,0.2960848256785966,3.766844919290948,29.479499947354913,3.637225500114483,31.135932305689835,3.539577751979857,32.74018391510988,3265.295973460931,2065.295973460931
B0005,04/04/2008 22:01:54,2.3705671296296296,discharge,13,1.8564874208181574,1.8137521577549054,4.189286794768804,0.295754214563003,3.7664831035376762,29.457694338331518,3.6365435562770445,31.07868950985981,3.5385769238232707,32.70337286401775,3258.5608679978213,2058.5608679978213
B0005,05/04/2008 02:20:26,2.550104166666667,discharge,14,1.8564874208181574,1.8134404914735822,4.188837765892728,0.2965152128370856,3.7654146047478507,29.240892224502755,3.6354135194132664,30.914132403856648,3.5378573894237015,32.552385539239594,3254.912844870944,2054.912844870944
B0005,05/04/2008 06:25:01,2.7199537037037036,discharge,15,1.8564874208181574,1.8025980036306504,4.189110301768517,0.29654479563848213,3.765250783506122,29.200553523942656,3.6349724684049383,30.832831005590435,3.5373280080531964,32.46769613070042,3250.3942165914864,2050.3942165914864
B0005,05/04/2008 10:30:32,2.890451388888889,discharge,16,1.8564874208181574,1.80210690024615,4.18921207304098,0.29697765317877645,3.7646107838372185,29.083661286668775,3.634096107754388,30.73652281488406,3.5364763757135753,32.37557065018201,3243.395220029331,2043.395220029331
B0005,05/04/2008 14:34:41,3.06,discharge,17,1.8564874208181574,1.802579500826209,4.188899969428112,0.2966809927866514,3.7645811980220136,29.101010037602762,3.633485744177594,30.746906541717625,3.535992811324016,32.40050964020526,3238.347816563976,2038.3478165639758
B0005,05/04/2008 18:39:25,3.229953703703704,discharge,18,1.8564874208181574,1.8030683142834096,4.188779799856791,0.29640264726657994,3.7645438874869903,29.129483858781015,3.6330161940591457,30.78907711165029,3.5356804072008163,32.43884496660516,3233.8711772504976,2033.8711772504976
B0005,05/04/2008 22:46:35,3.401597222222222,discharge,19,1.8564874208181574,1.8027776247196041,4.189272591516219,0.2969274377683204,3.7642560716343696,29.128535517184304,3.6326448471668495,30.773645072345875,3.5352051396400954,32.426311409938485,3231.495046526839,2031.495046526839
B0005,18/04/2008 21:10:19,16.33474537037037,discharge,20,1.8564874208181574,1.8470259949329193,4.187614060563439,0.29623627749784154,3.765851898123626,29.432137975850104,3.638606100920189,31.09350358237993,3.541805621437164,32.71022550686562,3322.42020781044,2122.42020781044
B0005,19/04/2008 02:29:09,16.556157407407408,discharge,21,1.8564874208181574,1.847417311283644,4.1876287811083985,0.2931282927394947,3.7690887065332537,29.751199868471684,3.6403774755787244,31.366169626996005,3.543160402911821,33.003696236906514,3314.272511029003,2114.272511029003
B0005,19/04/2008 07:47:15,16.777060185185185,discharge,22,1.8564874208181574,1.8361774213478947,4.187447226312926,0.2944741082888016,3.767179880891084,29.407981199922247,3.638403513760544,31.006500216814594,3.5414808123035018,32.66071254775852,3302.7078825842077,2102.7078825842077
B0005,19/04/2008 13:01:42,16.99542824074074,discharge,23,1.8564874208181574,1.8257807475776242,4.187344026387161,0.2958892511040201,3.7655046425947862,29.104905408482516,3.6365157819839085,30.711902717323643,3.5396264785039593,32.37170619762622,3291.7919875270013,2091.7919875270013
B0005,19/04/2008 18:27:29,17.221666666666668,discharge,24,1.8564874208181574,1.8251136435078368,4.187438187636325,0.29634716121117943,3.7647493322732872,28.978300281219415,3.635337973276809,30.57571462253495,3.5385981009223064,32.263190132424036,3283.050478715414,2083.050478715414
B0005,19/04/2008 23:41:55,17.440023148148146,discharge,25,1.8564874208181574,1.8255815042203762,4.18774138117799,0.2966166307836553,3.764475103034733,28.935404931178557,3.634442805582821,30.52703628469476,3.537806640921308,32.21571102237071,3275.3430085068167,2075.3430085068167
B0005,20/04/2008 04:54:41,17.65722222222222,discharge,26,1.8564874208181574,1.8140311275083907,4.188261122540052,0.29726578145923765,3.764203005524655,28.87001119363165,3.6338245826904134,30.44030700466262,3.5372000401055006,32.14052557755593,3269.5188906098483,2069.5188906098483
B0005,20/04/2008 10:16:28,17.88068287037037,discharge,27,1.8564874208181574,1.8147691941158939,4.187338767288234,0.29752772470864297,3.7627788469033376,28.766899065770406,3.631884435592031,30.337374031683513,3.53554884241154,32.06067799096643,3258.700946627543,2058.700946627543
B0005,20/04/2008 15:37:05,18.103333333333335,discharge,28,1.8564874208181574,1.813969388710352,4.187560306288175,0.2983196478096226,3.762285564402639,28.724463793933737,3.6308560223124453,30.301205194611843,3.5346706213861396,32.022354895605474,3252.4803265218443,2052.4803265218443
B0005,20/04/2008 20:50:38,18.321076388888887,discharge,29,1.8564874208181574,1.802765665167823,4.18805176248713,0.29801997710650685,3.7624460546351997,28.757017505524406,3.6304571705090134,30.337885341963755,3.534114904324862,32.07477803061666,3246.490282294706,2046.490282294706
B0005,21/04/2008 02:15:02,18.546354166666667,discharge,30,1.8564874208181574,1.804077040117352,4.187667484260542,0.29819611172695293,3.7618403180606506,28.775988183898864,3.629507414391971,30.3553661155574,3.5330890195340254,32.08339364052944,3238.9785623003495,2038.9785623003495
B0005,22/04/2008 15:33:49,20.101064814814816,discharge,31,1.8564874208181574,1.8518025516704486,4.2010701773378685,0.30514505187165053,3.7710449341969428,29.04209108561327,3.635375348242457,30.35904775594576,3.537211935832871,32.14830801204428,3319.636416739978,2119.636416739978
B0005,22/04/2008 20:26:18,20.30417824074074,discharge,32,1.8564874208181574,1.8307038456739428,4.1996223345495824,0.30067468114064955,3.7711796379433036,29.373769226589665,3.6348413184370574,30.693100341008844,3.5372656778212033,32.32128107563079,3282.5788647306745,2082.5788647306745
B0005,23/04/2008 01:18:11,20.506875,discharge,33,1.8564874208181574,1.8199041089501267,4.199853323702163,0.30201367003099877,3.7690036991743057,29.179239029258994,3.6327295361232457,30.45663264158212,3.5350634725055925,32.19588200833657,3265.6077654965056,2065.6077654965056
B0005,23/04/2008 06:18:19,20.715300925925927,discharge,34,1.8564874208181574,1.8093079637028517,4.199103467081427,0.3045999381370694,3.7652551179056326,28.782005060196305,3.628815887904095,30.076831365345083,3.531931000431909,31.831715240520996,3248.715276919783,2048.715276919783
B0005,23/04/2008 11:08:00,20.916469907407407,discharge,35,1.8564874208181574,1.80460990458052,4.199998536865001,0.30515324225859475,3.7649888161071683,28.737444695891103,3.62732142169929,30.023948860624348,3.53012758975045,31.757974508433065,3235.129404733114,2035.129404733114
B0005,23/04/2008 16:06:25,21.123703703703704,discharge,36,1.8564874208181574,1.7993770651972192,4.19967522099872,0.3037392533341312,3.766136872079705,29.19016284035128,3.6281309772009593,30.52483675205712,3.531035527865326,32.29112666631227,3228.9192177336945,2028.9192177336945
B0005,23/04/2008 21:02:58,21.329641203703705,discharge,37,1.8564874208181574,1.7884432335370462,4.1991847248803165,0.30554460093236013,3.7633258499524995,28.980274608198172,3.6249698870780995,30.27729440232252,3.528191505794038,32.08642546251644,3213.733946395497,2013.7339463954968
B0005,24/04/2008 01:51:33,21.530046296296295,discharge,38,1.8564874208181574,1.7829230484252723,4.200012480335,0.3073863339466345,3.7613899086678173,28.779711008010803,3.6225970930017564,30.084740691281525,3.526296992931152,31.902210208875633,3200.188633565489,2000.188633565489
B0005,24/04/2008 06:50:00,21.73730324074074,discharge,39,1.8564874208181574,1.7730337158018288,4.1992373656547874,0.3091611038293438,3.758592999812288,28.560124277331703,3.619983419011681,30.0028460578643,3.52358879860382,31.794846666449534,3186.3225726806113,1986.3225726806113
B0005,24/04/2008 11:49:24,21.945219907407406,discharge,40,1.8564874208181574,1.773037755078937,4.1993957811187075,0.30892787350993745,3.7585908765059313,28.79239977208076,3.6193286647829033,30.19006501868899,3.5229773963479767,32.03703875614034,3177.2972631386338,1977.2972631386338
B0005,24/04/2008 16:45:56,22.151145833333334,discharge,41,1.8564874208181574,1.7678721106662054,4.1995786980260705,0.3071579951266852,3.7604711927350007,29.335142528079363,3.6205690885258384,30.73522152295496,3.524060090990125,32.56666708804681,3172.8461335689276,1972.8461335689276
B0005,24/04/2008 21:38:11,22.354097222222222,discharge,42,1.8564874208181574,1.7623150704093087,4.199546957512695,0.3064312175962227,3.7606849656019965,29.53945840838424,3.619863542554484,30.862500406098412,3.5232754011361025,32.775015025944114,3163.277122861463,1963.2771228614629
B0005,25/04/2008 12:03:44,22.95517361111111,discharge,43,1.8564874208181574,1.7676172924938447,4.194091469340824,0.30370300515516035,3.758663025332354,29.24678715988185,3.6175317653625343,30.472495530158643,3.5207498873595577,32.364370073462,3185.931271221079,1985.931271221079
B0005,25/04/2008 20:03:55,23.288634259259258,discharge,44,1.8564874208181574,1.762668359743147,4.200715235801255,0.30908383536198647,3.7579425620115683,29.131152265917034,3.617137643000677,30.408289931237693,3.5212193600453614,32.2552873983874,3161.7485455947935,1961.7485455947935
B0005,26/04/2008 01:04:35,23.497430555555557,discharge,45,1.8564874208181574,1.7517304870664143,4.1990980807180325,0.3117460776055667,3.7536863830206975,28.695895004651515,3.6126676334174963,29.991226558713183,3.5173020244379316,31.844923923909427,3143.8180954089967,1943.8180954089967
B0005,26/04/2008 05:57:35,23.70090277777778,discharge,46,1.8564874208181574,1.7418496047960008,4.199398534411534,0.31281643113394564,3.7519959586817473,28.68555868588558,3.610549225760728,29.969595434794847,3.515031924609886,31.858563177301658,3129.364919811637,1929.3649198116368
B0005,26/04/2008 10:58:25,23.909814814814812,discharge,47,1.8564874208181574,1.7360913511847138,4.199122915612965,0.31386118837127475,3.7502943147823244,28.678470263536937,3.6084194531479676,29.925579820814495,3.5131641873658825,31.951525235350516,3116.6519123524167,1916.6519123524167
B0005,29/04/2008 12:15:56,26.963645833333334,discharge,48,1.8564874208181574,1.7936240148573608,4.190409478081396,0.293423410078419,3.7670220552943743,31.92878064347401,3.627281715952565,32.8503691237687,3.530313168886083,34.6785029413422,3214.0016284541102,2014.0016284541102
