Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,id_cycle,type,ambient_temperature,time,Battery
3.97487091222999,-2.01252832408604,24.3890851275649,1.9982,3.062,35.703,1.85648742081816,1,discharge,24,2008,B0005
3.95171670751089,-2.01397936209874,24.5447523167272,1.9982,3.03,53.781,1.85648742081816,1,discharge,24,2008,B0005
3.9343524894326,-2.01114359599115,24.7313852009341,1.9982,3.011,71.922,1.85648742081816,1,discharge,24,2008,B0005
3.92005844166791,-2.01300662781294,24.9098163973038,1.9982,2.991,90.094,1.85648742081816,1,discharge,24,2008,B0005
3.90790350991309,-2.01439965705264,25.1058841525274,1.9982,2.977,108.281,1.85648742081816,1,discharge,24,2008,B0005
3.89703572169109,-2.01160288530172,25.3170185607883,1.9982,2.967,126.453,1.85648742081816,1,discharge,24,2008,B0005
3.88747658054044,-2.0180146876333,25.5094231004899,1.9982,2.959,144.641,1.85648742081816,1,discharge,24,2008,B0005
3.87895859247514,-2.01313475351151,25.703603451474,1.9982,2.951,162.844,1.85648742081816,1,discharge,24,2008,B0005
3.87101598480779,-2.01316220224595,25.8872081935672,1.9982,2.943,181.016,1.85648742081816,1,discharge,24,2008,B0005
3.8634796774934,-2.01303023418461,26.0778148560613,1.9982,2.935,199.219,1.85648742081816,1,discharge,24,2008,B0005
3.85666050703146,-2.01371049851857,26.2543146245632,1.9982,2.93,217.391,1.85648742081816,1,discharge,24,2008,B0005
3.85001357916834,-2.01415013745466,26.4367106868945,1.9982,2.925,235.594,1.85648742081816,1,discharge,24,2008,B0005
3.84384190541381,-2.013463983241,26.6112789099098,1.9982,2.925,253.75,1.85648742081816,1,discharge,24,2008,B0005
3.83768797571906,-2.01264583638754,26.7813476537747,1.9982,2.919,271.984,1.85648742081816,1,discharge,24,2008,B0005
3.83193825298352,-2.01340930058713,26.9574588509864,1.9982,2.913,290.141,1.85648742081816,1,discharge,24,2008,B0005
3.82641444300992,-2.01314549982481,27.1298001424599,1.9982,2.907,308.359,1.85648742081816,1,discharge,24,2008,B0005
3.82109573438256,-2.01204128943031,27.305824075615,1.9982,2.902,326.5,1.85648742081816,1,discharge,24,2008,B0005
3.81589666466862,-2.0144632529994,27.464816676941,1.9982,2.897,344.75,1.85648742081816,1,discharge,24,2008,B0005
3.81069682190636,-2.01314002971595,27.6179645227552,1.9982,2.892,362.906,1.85648742081816,1,discharge,24,2008,B0005
3.80583738096969,-2.00922643619629,27.7754778254587,1.9982,2.887,381.047,1.85648742081816,1,discharge,24,2008,B0005
3.8011216334633,-2.01466618038391,27.9313299791524,1.9982,2.882,399.187,1.85648742081816,1,discharge,24,2008,B0005
3.79629313055025,-2.01321832884032,28.0789694815712,1.9982,2.877,417.281,1.85648742081816,1,discharge,24,2008,B0005
3.79144890639008,-2.01151422011174,28.2335031033149,1.9982,2.872,435.484,1.85648742081816,1,discharge,24,2008,B0005
3.78662468670613,-2.01220227981274,28.3787794093877,1.9982,2.867,453.672,1.85648742081816,1,discharge,24,2008,B0005
3.78206292303341,-2.01385334477125,28.5225241950898,1.9982,2.863,471.812,1.85648742081816,1,discharge,24,2008,B0005
3.77717540186865,-2.01213146011162,28.6658983307403,1.9982,2.858,490.203,1.85648742081816,1,discharge,24,2008,B0005
3.77240629397936,-2.01070173140752,28.8167182889576,1.9982,2.853,508.344,1.85648742081816,1,discharge,24,2008,B0005
3.76793745919496,-2.01208603752232,28.932748936688,1.9982,2.849,526.625,1.85648742081816,1,discharge,24,2008,B0005
3.76322930364035,-2.01229391932774,29.0704460950252,1.9982,2.845,544.922,1.85648742081816,1,discharge,24,2008,B0005
3.75851149202913,-2.01346597836118,29.1845862659112,1.9982,2.84,563.125,1.85648742081816,1,discharge,24,2008,B0005
3.75421321007525,-2.01358796093004,29.2924441073276,1.9982,2.835,581.406,1.85648742081816,1,discharge,24,2008,B0005
3.74962920289956,-2.01284705723582,29.4027458081941,1.9982,2.831,599.656,1.85648742081816,1,discharge,24,2008,B0005
3.74516885963638,-2.01242628276702,29.4989650951487,1.9982,2.827,617.875,1.85648742081816,1,discharge,24,2008,B0005
3.74100500876119,-2.01245565050621,29.5937029268963,1.9982,2.823,636.047,1.85648742081816,1,discharge,24,2008,B0005
3.73669982885741,-2.01338480049785,29.681428273132,1.9982,2.819,654.422,1.85648742081816,1,discharge,24,2008,B0005
3.73248270531015,-2.0126288573455,29.7667014154256,1.9982,2.815,672.594,1.85648742081816,1,discharge,24,2008,B0005
3.72835255440004,-2.01550536193371,29.8390810144007,1.9982,2.81,690.812,1.85648742081816,1,discharge,24,2008,B0005
3.72453323547867,-2.0113296575729,29.9108757310954,1.9982,2.807,708.937,1.85648742081816,1,discharge,24,2008,B0005
3.72065102608771,-2.01087904153185,29.9822443190752,1.9982,2.803,727.266,1.85648742081816,1,discharge,24,2008,B0005
