dischargeCycles,initialCapacity,Voltage20,AvgCurrent20,AvgTemp20,eodTime,log_eod_time
2,1.8518025516704486,3.6234948625001504,-2.023995802875089,29.514922503250403,3280.1446616354915,8.095642804562791
3,1.8518025516704486,3.6247082567271725,-2.0239736616593276,29.488182408619615,3267.6698781622176,8.091832434403155
4,1.8518025516704486,3.6257347378129317,-2.023678675220688,29.37101263378263,3262.1995529595183,8.090156956343417
5,1.8518025516704486,3.626170568339106,-2.0242082874118696,29.2278877575683,3256.7879485462154,8.088496696784667
6,1.8518025516704486,3.6277326771745435,-2.024367244215789,29.240244844403946,3256.780654765116,8.08849445721937
7,1.8518025516704486,3.628776547126985,-2.024278140673986,29.28625782708653,3254.3133432943614,8.087736577947595
8,1.8518025516704486,3.6297652927501325,-2.0244456344322668,29.344079715013347,3251.7512437314963,8.08694897442444
9,1.8518025516704486,3.6297201175470293,-2.0243627357073573,29.278291687161058,3244.2854476170505,8.08465040384787
10,1.8518025516704486,3.6297880124617787,-2.0239339575856676,29.197301765037377,3240.7751584733705,8.083567826613907
11,1.8518025516704486,3.6291684763841183,-2.0239297784469565,29.0575316408298,3235.749778098899,8.082015950744596
12,1.8518025516704486,3.6307097451048174,-2.0244686183696627,29.348702149552466,3229.5609734609307,8.080101485449411
13,1.8518025516704486,3.629918863451943,-2.0240462719159256,29.31462528233707,3222.9048679978214,8.078038364779697
14,1.8518025516704486,3.628746615551103,-2.0239744568234306,29.094382815644284,3219.318844870944,8.076925077300999
15,1.8518025516704486,3.628180271569446,-2.0239697474265888,29.05760755454059,3214.7532165914863,8.075505873722872
16,1.8518025516704486,3.6272595293593484,-2.024169430246854,28.936736662347073,3207.613220029331,8.073282394395054
17,1.8518025516704486,3.6266718687571746,-2.024364619789118,28.952355374844338,3202.675816563976,8.071741932049736
18,1.8518025516704486,3.6263599402088604,-2.024469815195614,28.982589996367192,3198.2151772504976,8.070348176074239
19,1.8518025516704486,3.626006993304718,-2.0243497384798457,28.96711655245843,3195.854046526839,8.069609638298576
20,1.8518025516704486,3.6321423909176374,-2.023996593322268,29.283012113085405,3286.79520781044,8.097668268045272
21,1.8518025516704486,3.6338596496005526,-2.0237753546561463,29.601904624605954,3278.569511029003,8.095162481561879
22,1.8518025516704486,3.6318285278832754,-2.023665789938387,29.247326586865224,3267.0358825842077,8.091638394884558
23,1.8518025516704486,3.6298829255022014,-2.023868548835395,28.926148674749715,3256.0889875270013,8.088282057070526
24,1.8518025516704486,3.6286574724695284,-2.023929114657957,28.78130684182484,3247.456478715414,8.08562734698164
25,1.8518025516704486,3.627925823990243,-2.0238735346912096,28.738440626944435,3239.6240085068166,8.083212555295274
26,1.8518025516704486,3.626914982049694,-2.024024739169878,28.653899772424644,3233.830890609848,8.081422747678252
27,1.8518025516704486,3.625196627261167,-2.0239930406435476,28.545387291646897,3223.075946627543,8.078091445492992
28,1.8518025516704486,3.624278194348734,-2.0241656993771806,28.499854315092676,3216.8863265218442,8.07616919137128
29,1.8518025516704486,3.623713579678698,-2.0242412072735414,28.536284199031616,3210.865282294706,8.074295738146999
30,1.8518025516704486,3.6227707738617902,-2.0242556063426087,28.545965259374427,3203.3535623003495,8.071953528250384
31,1.8518025516704486,3.6316856805096336,-2.0184742486901035,28.441446460267063,3300.058416739978,8.10169544934031
32,1.8518025516704486,3.631413297162423,-2.0183106865978115,28.77166925950329,3263.0168647306746,8.090407465053968
33,1.8518025516704486,3.628826102441191,-2.0182039555199442,28.560129844984942,3245.9517654965057,8.08516388828961
34,1.8518025516704486,3.625011530262328,-2.0180861053976042,28.132833729727952,3229.168276919783,8.079979883652397
35,1.8518025516704486,3.6234672453958248,-2.018106481076348,28.136420921200074,3215.504404733114,8.075739515417895
36,1.8518025516704486,3.62427563294007,-2.0184042311590953,28.576302171291086,3209.3562177336944,8.073825640787025
37,1.8518025516704486,3.6212186607343804,-2.0181808065991436,28.323856420274407,3194.2649463954967,8.069112276616938
38,1.8518025516704486,3.6189682760188537,-2.0181044346533965,28.13759370624561,3180.703633565489,8.064857719714798
39,1.8518025516704486,3.6162070031037836,-2.0182379678128175,27.93286627978967,3166.8385726806114,8.060489073556752
40,1.8518025516704486,3.615618569727634,-2.0186903740117823,28.133011521941047,3157.688263138634,8.057595476560781
41,1.8518025516704486,3.6168278583125493,-2.0185468101942625,28.692452417577552,3153.2831335689275,8.056199453664075
42,1.8518025516704486,3.6160396987002117,-2.0184898452836486,28.89887144353145,3143.762122861463,8.05317549001921
43,1.8518025516704486,3.610518322107485,-2.0244594740058437,28.81012084648009,3150.415271221079,8.055289555264263
44,1.8518025516704486,3.6132519509041052,-2.0183798323567013,28.450975957533974,3142.2645455947936,8.052699011832276
45,1.8518025516704486,3.6088810202727917,-2.0182541298418206,28.038571746245758,3124.3340954089967,8.046976449994593
46,1.8518025516704486,3.606624085865943,-2.0185889187611283,27.955503343899043,3109.802919811637,8.042314633329841
47,1.8518025516704486,3.604681792694842,-2.018424411610442,27.945329744738572,3097.1519123524167,8.03823823022402
48,1.8518025516704486,3.6235062655229586,-2.018211139152115,31.166979210029538,3194.3766284541102,8.069147239310436
49,1.8518025516704486,3.6227700398334455,-2.0181740018677043,30.239989309583425,3182.0444903779053,8.06527919069122
50,1.8518025516704486,3.6163640822829595,-2.0181311823102037,29.443097985190438,3154.004893398105,8.056428319011351
51,1.8518025516704486,3.612010086415309,-2.0180979001672767,28.99725888429078,3131.2907510743707,8.049200579063658
52,1.8518025516704486,3.608661654884829,-2.0182415287414037,28.681671876098363,3115.9646739271675,8.044294069932526
53,1.8518025516704486,3.6069899335285376,-2.018358345868202,28.690517185272054,3101.797506635838,8.039737063280757
54,1.8518025516704486,3.606660992620378,-2.0184562400107784,29.023301125977408,3092.3958626552017,8.03670142953804
55,1.8518025516704486,3.6033889170609616,-2.0184855346164676,28.794314176944788,3075.259643105501,8.031144613458311
56,1.8518025516704486,3.6005323231513544,-2.018477251665045,28.67155066186922,3060.2279156034824,8.026244674396123
57,1.8518025516704486,3.5984553069390013,-2.018681151101247,28.56038725287016,3048.760320301427,8.02249033461712
58,1.8518025516704486,3.597649525717757,-2.018976193984955,28.722902615014128,3039.3828724773834,8.019409771317932
59,1.8518025516704486,3.5975860892915317,-2.018780528566493,29.177921162864134,3030.949697310584,8.016631280849676
60,1.8518025516704486,3.595171219333198,-2.018632199296647,28.97494453246871,3017.6365008492285,8.012229188352604
61,1.8518025516704486,3.592880469337363,-2.0187917797929864,28.86832660833166,3003.4990644322193,8.007533242797649
62,1.8518025516704486,3.5896606108004643,-2.018838199781236,28.684758735302175,2989.4405987868327,8.002841558174337
63,1.8518025516704486,3.589278774563894,-2.018839883730956,28.85577880078573,2982.781669216825,8.000611590155525
64,1.8518025516704486,3.5869574443236574,-2.0183863828160336,28.967693086051963,2969.56487846824,7.996170715497508
65,1.8518025516704486,3.5873661729968362,-2.0188622714612086,29.081727976376158,2961.196556524989,7.9933487077035466
66,1.8518025516704486,3.5834153358801824,-2.018875347732452,28.922603893344817,2945.609357150892,7.988070987127384
